tweet,label_str,label,source,tokens,cleaned_text
Arte በገናው ምድር በዚህ ሲያስተክዘን አመሸ,negative,1,afrisenti,"['Arte', 'በገናው', 'ምድር', 'በዚህ', 'ሲያስተክዘን', 'አመሸ']",Arte በገናው ምድር በዚህ ሲያስተክዘን አመሸ
ላይ !   የእነዛ 86 ምስኪን ንፁሃን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም !  በአንድ ቀን ጀምበር…,negative,1,afrisenti,"['የእነዛ', 'ምስኪን', 'ንጹሃን', 'ምንዱባን', 'ነፍሳት', 'የተቀጠፈ', 'ህይወት', 'አይረሳም', 'በአንድ', 'ቀን', 'ጀምበር']",የእነዛ ምስኪን ንጹሃን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም በአንድ ቀን ጀምበር
እኔ ሞቻለሁ ???????????????????????? ጌታ ሆይ ኧረ ና!,negative,1,afrisenti,"['እኔ', 'ሞቻለሁ', 'ጌታ', 'ሆይ', 'ኧረ']",እኔ ሞቻለሁ ጌታ ሆይ ኧረ
ያንች ነፃነት በአማራ ህዝብ ነው ወሬኛ,negative,1,afrisenti,"['ያንች', 'ነጻነት', 'በአማራ', 'ህዝብ', 'ወሬኛ']",ያንች ነጻነት በአማራ ህዝብ ወሬኛ
እወድሽ ነበረ ዛሬስ ጠላሁሽ  እንደ ሰፌድ ቆሎ ያም ያም ዘገነሽ፧ ወይ ጉድ,negative,1,afrisenti,"['እወድሽ', 'ነበረ', 'ዛሬስ', 'ጠላሁሽ', 'ሰፌድ', 'ቆሎ', 'ያም', 'ያም', 'ዘገነሽ፧', 'ጉድ']",እወድሽ ነበረ ዛሬስ ጠላሁሽ ሰፌድ ቆሎ ያም ያም ዘገነሽ፧ ጉድ
ታብሌት ኮምፒውተሮቹ በሥጦታ የተገኙ ናቸው ወይሥ በህዝቡ ገንዘብ የተገዙ?የከተማ አሥተዳደሩ በጀት ይዞለት ነበር?ወይሥ ወዘፈቀደ ከንቲባ?…,negative,1,afrisenti,"['ታብሌት', 'ኮምፒውተሮቹ', 'በሥጦታ', 'የተገኙ', 'ወይሥ', 'በህዝቡ', 'ገንዘብ', 'የተገዙ', 'የከተማ', 'አሥተዳደሩ', 'በጀት', 'ይዞለት', 'ወይሥ', 'ወዘፈቀደ', 'ከንቲባ']",ታብሌት ኮምፒውተሮቹ በሥጦታ የተገኙ ወይሥ በህዝቡ ገንዘብ የተገዙ የከተማ አሥተዳደሩ በጀት ይዞለት ወይሥ ወዘፈቀደ ከንቲባ
ከመወደዱ የተነሳ ዱለት በሲኒ ማስቀመጫ ከመቅረብ አልፎ በቆርኪ የሚቀርብበት ጊዜ ሩቅ አይደለም! ??,negative,1,afrisenti,"['ከመወደዱ', 'የተነሳ', 'ዱለት', 'በሲኒ', 'ማስቀመጫ', 'ከመቅረብ', 'አልፎ', 'በቆርኪ', 'የሚቀርብበት', 'ጊዜ', 'ሩቅ']",ከመወደዱ የተነሳ ዱለት በሲኒ ማስቀመጫ ከመቅረብ አልፎ በቆርኪ የሚቀርብበት ጊዜ ሩቅ
የ ሰው ህይወት ቀልድ ሆነ በቃ,negative,1,afrisenti,"['ህይወት', 'ቀልድ', 'ሆነ', 'በቃ']",ህይወት ቀልድ ሆነ በቃ
ሴት ብሆን አይደለም ይሄን በሬ ወለደ ብልሽ ታምኚኝ ነበር...እድሌ ነው??,negative,1,afrisenti,"['ሴት', 'ብሆን', 'ይሄን', 'በሬ', 'ወለደ', 'ብልሽ', 'ታምኚኝ', 'እድሌ']",ሴት ብሆን ይሄን በሬ ወለደ ብልሽ ታምኚኝ እድሌ
ምን እያልኳት ምን ትላለች አሉ .. የከተማው ሙታንታ ሳይታጠቅ ያደገ ፎሊስ በል ፎከቴያሙ ድይቆን ሁሉ አልቀሩ,negative,1,afrisenti,"['ምን', 'እያልኳት', 'ምን', 'ትላለች', 'አሉ', 'የከተማው', 'ሙታንታ', 'ሳይታጠቅ', 'ያደገ', 'ፎሊስ', 'በል', 'ፎከቴያሙ', 'ድይቆን', 'አልቀሩ']",ምን እያልኳት ምን ትላለች አሉ የከተማው ሙታንታ ሳይታጠቅ ያደገ ፎሊስ በል ፎከቴያሙ ድይቆን አልቀሩ
የቆሸሸ ሟች ለመደበቅ እዚያ እንደቆሙ አውቃለሁ,negative,1,afrisenti,"['የቆሸሸ', 'ሟች', 'ለመደበቅ', 'እንደቆሙ', 'አውቃለሁ']",የቆሸሸ ሟች ለመደበቅ እንደቆሙ አውቃለሁ
አንዳንድ   ሰዎች  ኢንሻላህ ኢራን አሜሪካን  እንደምታሸንፍ  አስረግጠው  ሲበጠረቁ እያዬሁ ነው ።  - - ሐይማኖትና ጎሰኝነትኮ ሃቅን ለመድፈን ተወዳዳሪ  የላቸውም።,negative,1,afrisenti,"['አንዳንድ', 'ኢንሻላህ', 'ኢራን', 'አሜሪካን', 'እንደምታሸንፍ', 'አስረግጠው', 'ሲበጠረቁ', 'እያዬሁ', '።', 'ሃይማኖትና', 'ጎሰኝነትኮ', 'ሃቅን', 'ለመድፈን', 'ተወዳዳሪ', 'የላቸውም።']",አንዳንድ ኢንሻላህ ኢራን አሜሪካን እንደምታሸንፍ አስረግጠው ሲበጠረቁ እያዬሁ ። ሃይማኖትና ጎሰኝነትኮ ሃቅን ለመድፈን ተወዳዳሪ የላቸውም።
ደግ አደረገችህ ምን ብለህ አፍህን ከፍተህ ነው,negative,1,afrisenti,"['ደግ', 'አደረገችህ', 'ምን', 'ብለህ', 'አፍህን', 'ከፍተህ']",ደግ አደረገችህ ምን ብለህ አፍህን ከፍተህ
መንግስት ስለ ዲሞክራሲ ሲቀደድልህ አትስማው። የሚያደርገውን ነገር በደንብ ተከታተል። ያኔ ዓላማው ይገለጥልሃል።  የሃሳብ ነፃነትን የሚከለክል መንግስት ስለ ብልፅግና ቢያወራህ እንኳን…,negative,1,afrisenti,"['መንግስት', 'ዲሞክራሲ', 'ሲቀደድልህ', 'አትስማው።', 'የሚያደርገውን', 'ነገር', 'በደንብ', 'ተከታተል።', 'ያኔ', 'አላማው', 'ይገለጥልሃል።', 'የሃሳብ', 'ነጻነትን', 'የሚከለክል', 'መንግስት', 'ብልጽግና', 'ቢያወራህ']",መንግስት ዲሞክራሲ ሲቀደድልህ አትስማው። የሚያደርገውን ነገር በደንብ ተከታተል። ያኔ አላማው ይገለጥልሃል። የሃሳብ ነጻነትን የሚከለክል መንግስት ብልጽግና ቢያወራህ
ካቀድነው በላይ ታጋች ያሥፈታን ቢሆንም ከእቅዳችን ጋ ይሠናሠል ዘንድ አንዳንዶቹን መልሠን ለአጋቾቹ ሠጥተናል! ወይዘሮ ንጉሡ ጥላሁን! ••• ! :D :D :D !,negative,1,afrisenti,"['ካቀድነው', 'በላይ', 'ታጋች', 'ያሥፈታን', 'ከእቅዳችን', 'ጋ', 'ይሠናሠል', 'ዘንድ', 'አንዳንዶቹን', 'መልሠን', 'ለአጋቾቹ', 'ሠጥተናል', 'ወይዘሮ', 'ንጉሡ', 'ጥላሁን', 'D', 'D', 'D']",ካቀድነው በላይ ታጋች ያሥፈታን ከእቅዳችን ጋ ይሠናሠል ዘንድ አንዳንዶቹን መልሠን ለአጋቾቹ ሠጥተናል ወይዘሮ ንጉሡ ጥላሁን D D D
ጉዳዩ አገር ሰላም ብሎ የተቀመጠን ህዝብ ለበቀል እና የርስበርስ ጦርነት የሚቀሰቅስ ነው።,negative,1,afrisenti,"['ጉዳዩ', 'አገር', 'ሰላም', 'ብሎ', 'የተቀመጠን', 'ህዝብ', 'ለበቀል', 'የርስበርስ', 'ጦርነት', 'የሚቀሰቅስ']",ጉዳዩ አገር ሰላም ብሎ የተቀመጠን ህዝብ ለበቀል የርስበርስ ጦርነት የሚቀሰቅስ
መጋኛ,negative,1,afrisenti,['መጋኛ'],መጋኛ
አይባልም,negative,1,afrisenti,['አይባልም'],አይባልም
ብልፅግና ፓርቲ አዲስ ፓርቲ እንጂ የኢሕአዴግ ውህድ አይደለም ኦቦ በቀለ ገርባ ለ ኦ ኤም ኤን የሰጡት አስተያየት,negative,1,afrisenti,"['ብልጽግና', 'ፓርቲ', 'አዲስ', 'ፓርቲ', 'እንጂ', 'የኢህአዴግ', 'ውህድ', 'ኦቦ', 'በቀለ', 'ገርባ', 'ኦ', 'ኤም', 'ኤን', 'የሰጡት', 'አስተያየት']",ብልጽግና ፓርቲ አዲስ ፓርቲ እንጂ የኢህአዴግ ውህድ ኦቦ በቀለ ገርባ ኦ ኤም ኤን የሰጡት አስተያየት
በ3ኛ አካል ይጣራል የንተ መደሰት እንድንጠራጠር አርጎናል,negative,1,afrisenti,"['ኛ', 'አካል', 'ይጣራል', 'የንተ', 'መደሰት', 'እንድንጠራጠር', 'አርጎናል']",ኛ አካል ይጣራል የንተ መደሰት እንድንጠራጠር አርጎናል
«ባሐሩን የምታደፈርስ መስሏት አሞራ አለማወቋ እና ለውንብዳናዋ ትልቅ ባህር ላይ ትሸናለች እንጂ የሷ ሽንት ትልቁን ባህር የማደፍረስ አቅም የለውም»  አቦ ለማ መገርሳ  በሰላም አሜሪካ ገብተዋል!,negative,1,afrisenti,"['ባሃሩን', 'የምታደፈርስ', 'መስሏት', 'አሞራ', 'አለማወቋ', 'ለውንብዳናዋ', 'ትልቅ', 'ባህር', 'ትሸናለች', 'እንጂ', 'የሷ', 'ሽንት', 'ትልቁን', 'ባህር', 'የማደፍረስ', 'አቅም', 'የለውም', 'አቦ', 'ለማ', 'መገርሳ', 'በሰላም', 'አሜሪካ', 'ገብተዋል']",ባሃሩን የምታደፈርስ መስሏት አሞራ አለማወቋ ለውንብዳናዋ ትልቅ ባህር ትሸናለች እንጂ የሷ ሽንት ትልቁን ባህር የማደፍረስ አቅም የለውም አቦ ለማ መገርሳ በሰላም አሜሪካ ገብተዋል
ቱ በሉ የመራራ ፓርቲ በከበቡሽ ካልተዋጠ!  የመራራ ፓርቲ እንደ ልጥ መዋጡ ነው። ያኔ ኧረ ጀዌ (ከበቡሽ) ፓርቲዬን ዋጠው ቢለን መስሚያዬ ...  ወይኔ መራራ ስሜ መራራ,negative,1,afrisenti,"['ቱ', 'በሉ', 'የመራራ', 'ፓርቲ', 'በከበቡሽ', 'ካልተዋጠ', 'የመራራ', 'ፓርቲ', 'ልጥ', 'መዋጡ', 'ያኔ', 'ኧረ', 'ጀዌ', 'ከበቡሽ', 'ፓርቲዬን', 'ዋጠው', 'ቢለን', 'መስሚያዬ', 'ወይኔ', 'መራራ', 'ስሜ', 'መራራ']",ቱ በሉ የመራራ ፓርቲ በከበቡሽ ካልተዋጠ የመራራ ፓርቲ ልጥ መዋጡ ያኔ ኧረ ጀዌ ከበቡሽ ፓርቲዬን ዋጠው ቢለን መስሚያዬ ወይኔ መራራ ስሜ መራራ
አንተን እስከ ቤተሰቦችሁ ወደቃሌቲ ማረሚያ ቤት ያስገባህ????????,negative,1,afrisenti,"['አንተን', 'ቤተሰቦችሁ', 'ወደቃሌቲ', 'ማረሚያ', 'ቤት', 'ያስገባህ']",አንተን ቤተሰቦችሁ ወደቃሌቲ ማረሚያ ቤት ያስገባህ
በጎች በሚዘረፉበት አገር? አንፎጋገር,negative,1,afrisenti,"['በጎች', 'በሚዘረፉበት', 'አገር', 'አንፎጋገር']",በጎች በሚዘረፉበት አገር አንፎጋገር
አይ ሳሙኤል በቃ የምትበላውን መፖሰት አስተማርክብን ጠርገው የሚበሉት መጡ,negative,1,afrisenti,"['አይ', 'ሳሙኤል', 'በቃ', 'የምትበላውን', 'መፖሰት', 'አስተማርክብን', 'ጠርገው', 'የሚበሉት', 'መጡ']",አይ ሳሙኤል በቃ የምትበላውን መፖሰት አስተማርክብን ጠርገው የሚበሉት መጡ
ይህ ሁሉ ለማያውቁ ሰወች እስልምና ይመስላቸዋል በጭራሽ የለውም። ይህ ሰይጣናዊ ዛር አለያም እንደ አዩ ጭፋ አታላይ ነው።,negative,1,afrisenti,"['ለማያውቁ', 'ሰወች', 'እስልምና', 'ይመስላቸዋል', 'በጭራሽ', 'የለውም።', 'ሰይጣናዊ', 'ዛር', 'አለያም', 'አዩ', 'ጭፋ', 'አታላይ']",ለማያውቁ ሰወች እስልምና ይመስላቸዋል በጭራሽ የለውም። ሰይጣናዊ ዛር አለያም አዩ ጭፋ አታላይ
አሁን ያሉትም ያው ናቸው ባክህ! ምን ተቀየረ፥ መሪው ያለውን አሜን እያለ የሚቀጥል ካድሬ ነው። መሪው ደግሞ ከእኔ በላይ አዋቂ የሚል ቱልቱላ ነው :),negative,1,afrisenti,"['ያሉትም', 'ያው', 'ባክህ', 'ምን', 'ተቀየረ፥', 'መሪው', 'ያለውን', 'አሜን', 'እያለ', 'የሚቀጥል', 'ካድሬ', 'መሪው', 'ከእኔ', 'በላይ', 'አዋቂ', 'የሚል', 'ቱልቱላ']",ያሉትም ያው ባክህ ምን ተቀየረ፥ መሪው ያለውን አሜን እያለ የሚቀጥል ካድሬ መሪው ከእኔ በላይ አዋቂ የሚል ቱልቱላ
ባክሽ ፒፕሉ ሲያሽቋልጥ ነው ባለፈውሳምንት ፍትህ ለቀይ ቀለም እሲኪያስብል ቀይ ለብሶ ህዝቤ ሶሻል ሚዲያውን አጨናነቀው  ደሞ አሁን ይሄ ምነው ሸዋ,negative,1,afrisenti,"['ባክሽ', 'ፒፕሉ', 'ሲያሽቋልጥ', 'ባለፈውሳምንት', 'ፍትህ', 'ለቀይ', 'ቀለም', 'እሲኪያስብል', 'ቀይ', 'ለብሶ', 'ህዝቤ', 'ሶሻል', 'ሚዲያውን', 'አጨናነቀው', 'ደሞ', 'ይሄ', 'ምነው', 'ሸዋ']",ባክሽ ፒፕሉ ሲያሽቋልጥ ባለፈውሳምንት ፍትህ ለቀይ ቀለም እሲኪያስብል ቀይ ለብሶ ህዝቤ ሶሻል ሚዲያውን አጨናነቀው ደሞ ይሄ ምነው ሸዋ
ፍትህ በሌለበት ሀገር ደሞክራሲ አለ ማለት ህዝብን መዋሸት ነው፤ ኢትዮጵያ ውስጥ ከቀበሌ ሊቀመንበር እስከ ምንስቴር ያለው አመራር ቅናተኛና ቅመኛ ነው፤ ፍትህ ለስዳማ ምሁራን 5 ወር ሙሉ ያለጥፋታቸው ለታሰሩት !!!!!,negative,1,afrisenti,"['ፍትህ', 'በሌለበት', 'ደሞክራሲ', 'አለ', 'ማለት', 'ህዝብን', 'መዋሸት', 'ነው፤', 'ኢትዮጵያ', 'ከቀበሌ', 'ሊቀመንበር', 'ምንስቴር', 'ያለው', 'አመራር', 'ቅናተኛና', 'ቅመኛ', 'ነው፤', 'ፍትህ', 'ለስዳማ', 'ምሁራን', 'ወር', 'ሙሉ', 'ያለጥፋታቸው', 'ለታሰሩት']",ፍትህ በሌለበት ደሞክራሲ አለ ማለት ህዝብን መዋሸት ነው፤ ኢትዮጵያ ከቀበሌ ሊቀመንበር ምንስቴር ያለው አመራር ቅናተኛና ቅመኛ ነው፤ ፍትህ ለስዳማ ምሁራን ወር ሙሉ ያለጥፋታቸው ለታሰሩት
አብይ ይህን ደንባራ ሙታንታ ሳይታጠቅ አዲሳባ ከዛም ቤተመንግስት የገባን ሽፍታ ዘር ዎንበዴ ጥይት ሳይተኩስ መቀሌ ሸኝቷል…,negative,1,afrisenti,"['አብይ', 'ይህን', 'ደንባራ', 'ሙታንታ', 'ሳይታጠቅ', 'አዲሳባ', 'ከዛም', 'ቤተመንግስት', 'የገባን', 'ሽፍታ', 'ዘር', 'ዎንበዴ', 'ጥይት', 'ሳይተኩስ', 'መቀሌ', 'ሸኝቷል']",አብይ ይህን ደንባራ ሙታንታ ሳይታጠቅ አዲሳባ ከዛም ቤተመንግስት የገባን ሽፍታ ዘር ዎንበዴ ጥይት ሳይተኩስ መቀሌ ሸኝቷል
ከንቲባ ታከለ ዑማ በቢሮዎችና ማዘጋጃ ቤት ስር የሆኑ ተቋማትን ተጠሪነት ወደ ራሳቸው እያዞሩ ነው። የአለም ባንክና የከተማ ልማትና ቤቶች ሚኒስቴር ድርጊቱን ተቃውመዋል። Wazema…,negative,1,afrisenti,"['ከንቲባ', 'ታከለ', 'ኡማ', 'በቢሮዎችና', 'ማዘጋጃ', 'ቤት', 'ስር', 'የሆኑ', 'ተቋማትን', 'ተጠሪነት', 'ራሳቸው', 'እያዞሩ', 'የአለም', 'ባንክና', 'የከተማ', 'ልማትና', 'ቤቶች', 'ሚኒስቴር', 'ድርጊቱን', 'ተቃውመዋል።', 'Wazema']",ከንቲባ ታከለ ኡማ በቢሮዎችና ማዘጋጃ ቤት ስር የሆኑ ተቋማትን ተጠሪነት ራሳቸው እያዞሩ የአለም ባንክና የከተማ ልማትና ቤቶች ሚኒስቴር ድርጊቱን ተቃውመዋል። Wazema
በሊቢያ በጦር ማሰልጠኛ  ተቋም ላይ በደረሰ ጥቃት 30 ሰዎች ተገደሉ፡፡,negative,1,afrisenti,"['በሊቢያ', 'በጦር', 'ማሰልጠኛ', 'ተቋም', 'በደረሰ', 'ጥቃት', 'ተገደሉ፡፡']",በሊቢያ በጦር ማሰልጠኛ ተቋም በደረሰ ጥቃት ተገደሉ፡፡
ድርጅቱ ከተቋቋመው አላማ ውጪ እየተንቀሳቀሰ ነው የሚል ዜና እንዳንሰማ?? እንዴት እኝህ የምያክል ጉመት ፖለቲከኛና የኢትዮጵያዊያን ህዝብ ተወዳጅ ከነፍሰበላው ጃ-…,negative,1,afrisenti,"['ድርጅቱ', 'ከተቋቋመው', 'አላማ', 'ውጪ', 'እየተንቀሳቀሰ', 'የሚል', 'ዜና', 'እንዳንሰማ', 'እንዴት', 'እኝህ', 'የምያክል', 'ጉመት', 'ፖለቲከኛና', 'የኢትዮጵያዊያን', 'ህዝብ', 'ተወዳጅ', 'ከነፍሰበላው', 'ጃ']",ድርጅቱ ከተቋቋመው አላማ ውጪ እየተንቀሳቀሰ የሚል ዜና እንዳንሰማ እንዴት እኝህ የምያክል ጉመት ፖለቲከኛና የኢትዮጵያዊያን ህዝብ ተወዳጅ ከነፍሰበላው ጃ
ዲኑ የቆየ ነው የምንሰማበት መልኩ እንዲህ መራራ መሆኑን ለማንሳት ነው,negative,1,afrisenti,"['ዲኑ', 'የቆየ', 'የምንሰማበት', 'መልኩ', 'እንዲህ', 'መራራ', 'መሆኑን', 'ለማንሳት']",ዲኑ የቆየ የምንሰማበት መልኩ እንዲህ መራራ መሆኑን ለማንሳት
እንደሱማ ከሆነ እናንተም ቦታ ላይኖራችሁ ነው,negative,1,afrisenti,"['እንደሱማ', 'ከሆነ', 'እናንተም', 'ቦታ', 'ላይኖራችሁ']",እንደሱማ ከሆነ እናንተም ቦታ ላይኖራችሁ
ይልቅ ለሶስተኛው የአለም ጦርነት እራስሽን አዘጋጅ አልሰማሁም እንዳትይ,negative,1,afrisenti,"['ይልቅ', 'ለሶስተኛው', 'የአለም', 'ጦርነት', 'እራስሽን', 'አዘጋጅ', 'አልሰማሁም', 'እንዳትይ']",ይልቅ ለሶስተኛው የአለም ጦርነት እራስሽን አዘጋጅ አልሰማሁም እንዳትይ
በዚ ዘመን ሰዉ ከገንክ ሚቆመዉ ለፎቶ ቢቻ ነዉ ቢገኝም  ከጎንክ ሚቆመዉም ከስንት አንዱ ነዉ,negative,1,afrisenti,"['በዚ', 'ዘመን', 'ሰዉ', 'ከገንክ', 'ሚቆመዉ', 'ለፎቶ', 'ቢቻ', 'ነዉ', 'ቢገኝም', 'ከጎንክ', 'ሚቆመዉም', 'ከስንት', 'አንዱ', 'ነዉ']",በዚ ዘመን ሰዉ ከገንክ ሚቆመዉ ለፎቶ ቢቻ ነዉ ቢገኝም ከጎንክ ሚቆመዉም ከስንት አንዱ ነዉ
የግል ቢሆን ኖሮ ግን ተደራድረው በሚያዋጣቸው ዋጋ ይሸጡ ነበር። 6,negative,1,afrisenti,"['የግል', 'ኖሮ', 'ተደራድረው', 'በሚያዋጣቸው', 'ዋጋ', 'ይሸጡ', 'ነበር።']",የግል ኖሮ ተደራድረው በሚያዋጣቸው ዋጋ ይሸጡ ነበር።
በሙስሊሙ ጉዳይ የአብይ አህመድ አቋም በዚህ ከቀጠለ  ፣እመኑኝ ወያኔ የገባችበት ቅርቃር ውስጥ መግባቱ የማይቀር ነው።,negative,1,afrisenti,"['በሙስሊሙ', 'ጉዳይ', 'የአብይ', 'አህመድ', 'አቋም', 'በዚህ', 'ከቀጠለ', '፣እመኑኝ', 'ወያኔ', 'የገባችበት', 'ቅርቃር', 'መግባቱ', 'የማይቀር']",በሙስሊሙ ጉዳይ የአብይ አህመድ አቋም በዚህ ከቀጠለ ፣እመኑኝ ወያኔ የገባችበት ቅርቃር መግባቱ የማይቀር
መደመር የተንፈራጠጠ ሀሳብ ነው   ፕሮፌሰር መስፍን ወልደማርያም,negative,1,afrisenti,"['መደመር', 'የተንፈራጠጠ', 'ሃሳብ', 'ፕሮፌሰር', 'መስፍን', 'ወልደማርያም']",መደመር የተንፈራጠጠ ሃሳብ ፕሮፌሰር መስፍን ወልደማርያም
እንዳንተ ያሉ በጋዜጠኛ ስም የሚሸረሙጡ ሴሌክቲቭ አታካቸውን ስንመለከት ለአገርና ሳይሆን ለጥቅም አሽከርነት የቆማቹ ህሊናቢስ እንደሆናቹ እንረዳለን:: እዚያዉ ካም…,negative,1,afrisenti,"['እንዳንተ', 'ያሉ', 'በጋዜጠኛ', 'ስም', 'የሚሸረሙጡ', 'ሴሌክቲቭ', 'አታካቸውን', 'ስንመለከት', 'ለአገርና', 'ሳይሆን', 'ለጥቅም', 'አሽከርነት', 'የቆማቹ', 'ህሊናቢስ', 'እንደሆናቹ', 'እንረዳለን', 'እዚያዉ', 'ካም']",እንዳንተ ያሉ በጋዜጠኛ ስም የሚሸረሙጡ ሴሌክቲቭ አታካቸውን ስንመለከት ለአገርና ሳይሆን ለጥቅም አሽከርነት የቆማቹ ህሊናቢስ እንደሆናቹ እንረዳለን እዚያዉ ካም
